username,total_posts,total_views,political_posts,electoral_posts,military_posts,economy_posts,religion_posts,international_posts,political_views,electoral_views,military_views,economy_views,religion_views,international_views
A3Noticias,25,111160,0,0,0,0,0,0,0,0,0,0,0,0
A4PRODUCTION_TG,12,55616,0,0,0,0,0,0,0,0,0,0,0,0
A4omg,115,29130400,0,0,0,0,0,0,0,0,0,0,0,0
A5ssa,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AAMO26SK,2,161,0,0,0,0,0,0,0,0,0,0,0,0
AAPGujaratOfficial,19,5941,0,0,0,0,0,0,0,0,0,0,0,0
ABSOLUTELY_ABSTRACT_BLONDE,4,5319,0,0,0,0,0,0,0,0,0,0,0,0
ABesNews,38,36736,0,0,0,0,1,0,0,0,0,0,1800,0
ACRains,31,202896,1,0,0,0,3,0,3830,0,0,0,11910,0
ACityThatSmog,23,69958,1,0,0,0,0,0,3850,0,0,0,0,0
ADRA_SDC,1,1500,0,0,0,0,0,0,0,0,0,0,0,0
AFUStratCom,131,1304856,1,0,0,0,0,0,5510,0,0,0,0,0
AGStakhanov,11,9318,0,0,0,0,0,0,0,0,0,0,0,0
AG_DPR,15,196490,0,0,0,0,0,0,0,0,0,0,0,0
AJalife,55,313564,0,0,0,0,0,0,0,0,0,0,0,0
ALBORZ,3,1054,0,0,0,0,0,0,0,0,0,0,0,0
ALKORN_life,1,1570,0,0,0,0,0,0,0,0,0,0,0,0
ALTER_NATIV,14,2001,0,0,0,0,0,0,0,0,0,0,0,0
ALYEMENNETV,764,407870,0,0,0,0,0,0,0,0,0,0,0,0
AMANATPartiyasy,17,3628,0,0,0,0,0,0,0,0,0,0,0,0
AMGaranin,9,10136,0,0,0,0,0,0,0,0,0,0,0,0
AMolotnikov2020,22,51239,0,0,0,0,0,0,0,0,0,0,0,0
ANDUZBEK,20,35145,0,0,0,0,0,0,0,0,0,0,0,0
ANGRENLIKLAR,4,1050,0,0,0,0,0,0,0,0,0,0,0,0
ANKVIDEO,11,51353,0,0,0,0,0,0,0,0,0,0,0,0
ANMTarnoldmyotint,17,39160,0,0,0,0,0,0,0,0,0,0,0,0
ANRed,3,209,0,0,0,0,0,0,0,0,0,0,0,0
ANTIPYTKI138,3,3730,0,0,0,0,0,0,0,0,0,0,0,0
AO_Hududgaztaminot,11,27989,0,0,0,0,0,0,0,0,0,0,0,0
APCyabloko,2,902,0,0,0,0,0,0,0,0,0,0,0,0
APDevyatov,39,151749,1,0,0,1,0,0,1310,0,0,3670,0,0
APKMQ,41,1050900,0,0,0,0,0,0,0,0,0,0,0,0
APSMAGIC,3,2493,0,0,0,0,0,0,0,0,0,0,0,0
AQYNDAR,3,1440,0,0,0,0,0,0,0,0,0,0,0,0
ARCconstruction,18,25340,5,0,0,0,0,0,7080,0,0,0,0,0
ARMARUSSIA1,2,5240,1,0,0,0,0,0,2250,0,0,0,0,0
ASFAR9920,17,57865,0,0,0,0,0,0,0,0,0,0,0,0
ASGasparyan,2301,120101481,66,0,1,9,9,0,3236500,0,51900,450700,526200,0
ASHERprod,9,13133,0,0,0,0,0,0,0,0,0,0,0,0
ASI_RU,9,8035,0,0,0,0,0,0,0,0,0,0,0,0
ASMRbykos,2,13740,0,0,0,0,0,0,0,0,0,0,0,0
ASOYROJHELAT,33,43835,0,0,0,0,0,0,0,0,0,0,0,0
ASerikov,3,4306,1,0,0,0,0,0,1430,0,0,0,0,0
ASupersharij,8826,8180739400,600,0,0,17,10,0,547634400,0,0,16273000,9297000,0
ATL_IS_DEAD,29,1968299,0,0,0,0,0,0,0,0,0,0,0,0
ATROTV,3,364,0,0,0,0,0,0,0,0,0,0,0,0
ATR_Crimea,3,781,0,0,0,0,0,0,0,0,0,0,0,0
ATV_BAIKAL,62,187332,5,0,0,0,0,0,10764,0,0,0,0,0
AUDITIONBOYSS,4,88,0,0,0,0,0,0,0,0,0,0,0,0
AUGC_COMUNICA,18,18709,0,0,0,0,0,0,0,0,0,0,0,0
AV77777AV,43,303820,0,0,0,0,0,0,0,0,0,0,0,0
AVATODAYDollar,217,6676444,0,0,0,0,0,0,0,0,0,0,0,0
AZcsgo,9,2391,0,0,0,0,0,0,0,0,0,0,0,0
AZweatherAZswfc,47,715254,0,0,0,0,0,0,0,0,0,0,0,0
A_S_Sukonkin,18,231509,0,0,0,0,0,0,0,0,0,0,0,0
A_purm,40,70858,0,0,0,0,0,0,0,0,0,0,0,0
AavaNews,1,695,0,0,0,0,0,0,0,0,0,0,0,0
Aazhich,31,47499,0,0,0,0,0,0,0,0,0,0,0,0
Ab_book,22,24437,0,0,0,0,0,0,0,0,0,0,0,0
Abakan_true,51,304785,1,0,0,0,0,0,18400,0,0,0,0,0
Abbasdjuma,33,327920,0,0,0,0,0,0,0,0,0,0,0,0
AbdiMedia,36,771030,0,0,0,0,0,0,0,0,0,0,0,0
Abdrasheva_FM,21,44280,0,0,0,0,0,0,0,0,0,0,0,0
Abdugaforrr,3,31130,0,0,0,0,0,0,0,0,0,0,0,0
AbdulboriyQodirov,6,5315,0,0,0,0,0,0,0,0,0,0,0,0
Abdurazzoq_Khanov,15,225660,0,0,0,0,0,0,0,0,0,0,0,0
AbiyAhmedAliofficial,113,4423799,0,0,0,0,0,0,0,0,0,0,0,0
About_the_War_in_Ukraine,1,33,0,0,0,0,0,0,0,0,0,0,0,0
AbyssiniaMedia,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Achinsk2018_Zheleznogorsk,44,62,2,0,0,0,0,0,3,0,0,0,0,0
Achinsk_true,49,382780,1,0,0,0,0,0,7410,0,0,0,0,0
ActualNewsUz,23,77197,0,0,0,0,0,0,0,0,0,0,0,0
Adam_Gold,36,638800,0,0,0,0,0,0,0,0,0,0,0,0
Addis_Reporter,74,326933,0,0,0,0,0,0,0,0,0,0,0,0
AdskayaRuletkaLIVE,32,360500,1,0,0,0,0,0,3440,0,0,0,0,0
AdskiyDrochila123,12,22530,0,0,0,0,0,0,0,0,0,0,0,0
Adushkinaa,57,2193850,0,0,0,0,0,0,0,0,0,0,0,0
AehamLM,5,899,0,0,0,0,0,0,0,0,0,0,0,0
Aekaposhchat,50,666572,1,0,0,0,0,0,13000,0,0,0,0,0
Afghanembassy,1,1540,0,0,0,0,0,0,0,0,0,0,0,0
AfghanistanInternational_2,36,66978,0,0,0,0,0,0,0,0,0,0,0,0
AfghanistanLatest,114,8261,0,0,0,0,0,0,0,0,0,0,0,0
AfrikantovaM,12,278200,0,0,0,0,0,0,0,0,0,0,0,0
Afsha_News_iR,2616,26587817,0,0,0,0,0,0,0,0,0,0,0,0
AfterShock_News,20,59170,1,0,0,0,0,0,2400,0,0,0,0,0
AgataMucenieceLife,26,1713300,0,0,0,0,0,0,0,0,0,0,0,0
Agdchan,48,1153530,1,0,0,0,0,0,4890,0,0,0,0,0
AgeofAquariusuncensored,38,691180,1,0,0,0,0,0,33300,0,0,0,0,0
Agitblog,448,13123680,3,0,0,0,2,0,70100,0,0,0,62300,0
Ags_Donbass,9561,236813378,138,0,1,13,9,0,2929330,0,22100,309200,152740,0
Ags_Donbassa_Rezerv,23,113080,0,0,0,0,0,0,0,0,0,0,0,0
AharEmroz,28,6019,0,0,0,0,0,0,0,0,0,0,0,0
AharNews,60,143451,0,0,0,0,0,0,0,0,0,0,0,0
AiFHab,12,27760,0,0,0,0,0,0,0,0,0,0,0,0
Airborne1126,13,31997,0,0,0,0,0,0,0,0,0,0,0,0
AjaNews,39514,2142467546,0,0,0,0,0,0,0,0,0,0,0,0
Akak1yYT,38,160830,0,0,0,0,0,0,0,0,0,0,0,0
Akhbar100,23,11106,0,0,0,0,0,0,0,0,0,0,0,0
AkhbarMasr,48,203900,0,0,0,0,0,0,0,0,0,0,0,0
