username,channel_type,notes
swodki,other,
stranaua,other,
SolovievLive,other,
dmytrogordon_official,other,
OstashkoNews,other,
UaOnlii,other,
UA_1NEWS,other,
Politnavigator,other,
weukrainetv,other,
mk_rus,other,
nash_prezident_putin,other,
insiderUKR,other,
rezident_ua,other,
SVOhronika,other,
OpenUkraine,other,
BerezaJuice,other,
sheyhtamir1974,other,
truekpru,other,
allratings,other,
Ags_Donbass,other,
rus_demiurge,other,
Screponos,other,
RVvoenkor,other,
sheptoon,other,
ukraina_ru,other,
absatzmedia,other,
OdessaRussi,other,
rusbrief,other,
first_political,other,
Kharkov_Perviy,other,
karaulny,other,
radiosvoboda,other,
readovkanews,other,
uniannet,other,
meduzalive,other,
olegtsarov,other,
angelika_VZ,other,
ZOVcrimea,other,
Pravda_Gerashchenko,other,
boris_rozhin,other,
dmitriy_chekalkyn,other,
legitimniy,other,
ASupersharij,other,
asphaltt,other,
Varjag2007,other,
MID_Russia,other,
dimsmirnov175,other,
ssigny,other,
glavmedia,other,
rybar,other,
Chornovil_official,other,
TCH_channel,other,
mriya24,other,
dubinskypro,other,
otryadkovpaka,other,
gosrf_ru,other,
UDudaka,other,
kolxozdelodobrovolnoeRUS,other,
voynareal,other,
fontanka_spb,other,
aifonline,other,
chernmorskiiexpres,other,
vzglyad_ru,other,
nvreport,other,
oko_ua,other,
breege_time_20zz,other,
XU_kraine,other,
censor_net,other,
truexanewsua,other,
bbcrussian,other,
UkraineNow,other,
L0HMATIY,other,
dirtytatarstan,other,
UkrainaCHP,other,
rlz_the_kraken,other,
russica2,other,
nabludatels,other,
svtvnews,other,
rgrunews,other,
VasiletsDmitriy,other,
lomovkaa,other,
nexta_live,other,
u_now,other,
donbassinfograd,other,
rightcourse,other,
militarydonetsk,other,
yesasiatop_news,other,
informburo_sfd,other,
nkvdkgb,other,
rbc_news,other,
Chennel_33TV,other,
ZeRada1,other,
RBC_ua_news,other,
MonitoringUA,other,
overclockers_news,other,
novynylive,other,
bbbreaking,other,
virt_poiskk,other,
EvPanina,other,
revolutionmaltsev,other,
chvkmedia,other,
tass_agency,other,
RossiyaNeEvropa,other,
criminalru,other,
sramotanevk,other,
Mikle1On,other,
Lisichanskinfo,other,
velikairossia,other,
Novoeizdanie,other,
dva_majors,other,
Onishchenko001,other,
Media_Post_UA,other,
trtnarusskom,other,
russia24h,other,
sovsecretno,other,
canal2018,other,
chervonec_001,other,
currenttime,other,
vityzeva,other,
dwglavnoe,other,
PresidentGordonLive,other,
infantmilitario,other,
karga4,other,
gnoma77,other,
Rogandar,other,
sashakots,other,
dnrdonetsk,other,
AleksandrSemchenko,other,
tele_eve,other,
uaobozrevatel,other,
putch111,other,
politwera,other,
volyn_news,other,
operativnoZSU,other,
buddagrishna,other,
vnsnua,other,
ZE_kartel,other,
myvijily,other,
echoonline_news,other,
politolog_Orlov,other,
espresotb,other,
u_now_ua,other,
channel24_ua,other,
slavuta_sity,other,
haqqin_azz,other,
DMaxnoVosti,other,
