date,politician,mentions
2022-02-24,Зеленський Володимир,159
2022-02-24,Арестович Олексій,26
2022-02-24,Подоляк Михайло,19
2022-02-24,Усик Олександр,2
2022-02-24,Бутусов Юрій,2
2022-02-24,Верещук Ірина,3
2022-02-24,Кличко Віталій,13
2022-02-24,Залужний Валерій,14
2022-02-24,Кулеба Дмитро,9
2022-02-24,Безугла Мар'яна,4
2022-02-24,Стефанчук Руслан,2
2022-02-24,Терехов Ігор,4
2022-02-24,Умеров Рустем,1
2022-02-24,Гордон Дмитро,1
2022-02-24,Порошенко Петро,2
2022-02-24,Тимошенко Юлія,1
2022-02-24,Яценюк Арсеній,1
2022-02-25,Зеленський Володимир,179
2022-02-25,Кулеба Дмитро,6
2022-02-25,Кличко Віталій,14
2022-02-25,Арестович Олексій,8
2022-02-25,Кім Віталій,3
2022-02-25,Подоляк Михайло,20
2022-02-25,Стефанчук Руслан,4
2022-02-25,Терехов Ігор,4
2022-02-25,Арахамія Давид,1
2022-02-25,Карась Євген,1
2022-02-25,Порошенко Петро,5
2022-02-25,Усик Олександр,1
2022-02-25,Прокопенко Денис,1
2022-02-25,Залужний Валерій,1
2022-02-25,Притула Сергій,1
2022-02-26,Зеленський Володимир,89
2022-02-26,Карась Євген,2
2022-02-26,Арахамія Давид,3
2022-02-26,Кулеба Дмитро,8
2022-02-26,Бойко Юрій,4
2022-02-26,Арестович Олексій,5
2022-02-26,Кличко Віталій,15
2022-02-26,Усик Олександр,4
2022-02-26,Подоляк Михайло,13
2022-02-26,Верещук Ірина,6
2022-02-26,Ляшко Олег,5
2022-02-26,Тимошенко Юлія,1
2022-02-26,Безугла Мар'яна,1
2022-02-26,Порошенко Петро,3
2022-02-26,Яценюк Арсеній,1
2022-02-26,Стефанчук Руслан,1
2022-02-26,Малюк Василь,1
2022-02-27,Зеленський Володимир,119
2022-02-27,Усик Олександр,2
2022-02-27,Залужний Валерій,2
2022-02-27,Кулеба Дмитро,2
2022-02-27,Арестович Олексій,9
2022-02-27,Арахамія Давид,3
2022-02-27,Подоляк Михайло,2
2022-02-27,Кім Віталій,2
2022-02-27,Безугла Мар'яна,1
2022-02-27,Кличко Віталій,10
2022-02-27,Умеров Рустем,1
2022-02-27,Притула Сергій,1
2022-02-28,Подоляк Михайло,23
2022-02-28,Зеленський Володимир,81
2022-02-28,Арестович Олексій,8
2022-02-28,Берлінська Марія,2
2022-02-28,Арахамія Давид,12
2022-02-28,Терехов Ігор,1
2022-02-28,Залужний Валерій,2
2022-02-28,Верещук Ірина,4
2022-02-28,Умеров Рустем,6
2022-02-28,Кличко Віталій,5
2022-02-28,Усик Олександр,4
2022-02-28,Порошенко Петро,1
2022-02-28,Яценюк Арсеній,1
2022-02-28,Кулеба Дмитро,1
2022-03-01,Зеленський Володимир,107
2022-03-01,Подоляк Михайло,2
2022-03-01,Верещук Ірина,1
2022-03-01,Кулеба Дмитро,7
2022-03-01,Залужний Валерій,1
2022-03-01,Кличко Віталій,3
2022-03-01,Разумков Дмитро,3
2022-03-01,Терехов Ігор,3
2022-03-01,Арестович Олексій,3
2022-03-01,Кім Віталій,1
2022-03-01,Тимошенко Юлія,1
2022-03-01,Малюк Василь,1
2022-03-02,Зеленський Володимир,49
2022-03-02,Кулеба Дмитро,7
2022-03-02,Арестович Олексій,17
2022-03-02,Подоляк Михайло,2
2022-03-02,Арахамія Давид,3
2022-03-02,Терехов Ігор,1
2022-03-02,Бутусов Юрій,2
2022-03-02,Кім Віталій,1
2022-03-02,Ляшко Олег,1
2022-03-02,Порошенко Петро,3
2022-03-03,Подоляк Михайло,19
2022-03-03,Зеленський Володимир,106
2022-03-03,Кім Віталій,5
2022-03-03,Кулеба Дмитро,14
2022-03-03,Терехов Ігор,1
2022-03-03,Усик Олександр,5
2022-03-03,Залужний Валерій,1
2022-03-03,Арестович Олексій,7
2022-03-03,Арахамія Давид,5
2022-03-03,Свириденко Юлія,1
2022-03-03,Верещук Ірина,1
2022-03-03,Маркус Валерій,1
2022-03-03,Порошенко Петро,1
2022-03-03,Яценюк Арсеній,1
2022-03-04,Зеленський Володимир,130
2022-03-04,Подоляк Михайло,24
2022-03-04,Арахамія Давид,10
2022-03-04,Арестович Олексій,8
2022-03-04,Стефанчук Руслан,3
2022-03-04,Кулеба Дмитро,4
2022-03-04,Кім Віталій,2
2022-03-04,Усик Олександр,1
2022-03-04,Залужний Валерій,1
2022-03-04,Берлінська Марія,2
2022-03-04,Верещук Ірина,1
2022-03-04,Порошенко Петро,1
2022-03-05,Арестович Олексій,12
2022-03-05,Кулеба Дмитро,12
2022-03-05,Кім Віталій,10
2022-03-05,Зеленський Володимир,63
2022-03-05,Бутусов Юрій,1
2022-03-05,Подоляк Михайло,2
2022-03-05,Верещук Ірина,9
2022-03-05,Арахамія Давид,3
2022-03-05,Кличко Віталій,1
2022-03-06,Зеленський Володимир,65
2022-03-06,Арестович Олексій,13
2022-03-06,Арахамія Давид,18
2022-03-06,Кім Віталій,8
2022-03-06,Кулеба Дмитро,10
2022-03-06,Подоляк Михайло,6
2022-03-06,Терехов Ігор,2
2022-03-06,Бутусов Юрій,4
2022-03-06,Верещук Ірина,3
2022-03-06,Ляшко Олег,1
2022-03-06,Кличко Віталій,1
2022-03-06,Порошенко Петро,1
2022-03-07,Арестович Олексій,8
2022-03-07,Подоляк Михайло,18
2022-03-07,Кулеба Дмитро,12
2022-03-07,Зеленський Володимир,44
2022-03-07,Кім Віталій,6
2022-03-07,Бойко Юрій,4
2022-03-07,Верещук Ірина,8
2022-03-07,Кличко Віталій,2
2022-03-07,Порошенко Петро,1
2022-03-07,Арахамія Давид,2
2022-03-07,Карась Євген,1
2022-03-08,Зеленський Володимир,65
2022-03-08,Арестович Олексій,19
