date,politician,channel_type,mentions
2022-02-24,Зеленський Володимир,other,1503
2022-02-24,Арестович Олексій,other,231
2022-02-24,Федоров Михайло,other,6
2022-02-24,Подоляк Михайло,other,209
2022-02-24,Усик Олександр,other,19
2022-02-24,Бутусов Юрій,other,46
2022-02-24,Верещук Ірина,other,24
2022-02-24,Кличко Віталій,other,130
2022-02-24,Залужний Валерій,other,124
2022-02-24,Кулеба Дмитро,other,62
2022-02-24,Безугла Мар'яна,other,35
2022-02-24,Стефанчук Руслан,other,27
2022-02-24,Терехов Ігор,other,39
2022-02-24,Умеров Рустем,other,1
2022-02-24,Гордон Дмитро,other,9
2022-02-24,Порошенко Петро,other,33
2022-02-24,Тимошенко Юлія,other,5
2022-02-24,Яценюк Арсеній,other,5
2022-02-24,Портніков Віталій,other,3
2022-02-24,Мураєв Євген,other,2
2022-02-24,Зеленський Володимир,voenkor,2
2022-02-24,Білецький Андрій,voenkor,1
2022-02-24,Білецький Андрій,other,4
2022-02-24,Ляшко Олег,other,29
2022-02-24,Берлінська Марія,other,1
2022-02-24,Притула Сергій,other,5
2022-02-24,Іллєнко Андрій,other,3
2022-02-24,Кім Віталій,other,8
2022-02-24,Чмут Тарас,other,4
2022-02-24,Арахамія Давид,other,2
2022-02-24,Малюк Василь,other,1
2022-02-24,Карась Євген,other,1
2022-02-24,Вілкул Олександр,other,8
2022-02-25,Зеленський Володимир,other,1274
2022-02-25,Кулеба Дмитро,other,86
2022-02-25,Кличко Віталій,other,212
2022-02-25,Федоров Михайло,other,19
2022-02-25,Арестович Олексій,other,144
2022-02-25,Кім Віталій,other,16
2022-02-25,Подоляк Михайло,other,192
2022-02-25,Стефанчук Руслан,other,31
2022-02-25,Терехов Ігор,other,24
2022-02-25,Арахамія Давид,other,9
2022-02-25,Карась Євген,other,16
2022-02-25,Порошенко Петро,other,36
2022-02-25,Усик Олександр,other,1
2022-02-25,Прокопенко Денис,other,1
2022-02-25,Залужний Валерій,other,31
2022-02-25,Притула Сергій,other,70
2022-02-25,Ляшко Олег,other,5
2022-02-25,Зеленський Володимир,voenkor,1
2022-02-25,Порошенко Петро,voenkor,1
2022-02-25,Тимошенко Юлія,other,1
2022-02-25,Яценюк Арсеній,other,2
2022-02-25,Бутусов Юрій,other,9
2022-02-25,Чмут Тарас,other,2
2022-02-25,Берлінська Марія,other,2
2022-02-25,Безугла Мар'яна,other,3
2022-02-25,Буданов Кирило,other,1
2022-02-25,Вілкул Олександр,other,10
2022-02-25,Мураєв Євген,other,1
2022-02-25,Малюк Василь,other,1
2022-02-26,Зеленський Володимир,other,903
2022-02-26,Карась Євген,other,28
2022-02-26,Арахамія Давид,other,23
2022-02-26,Кулеба Дмитро,other,144
2022-02-26,Бойко Юрій,other,13
2022-02-26,Арестович Олексій,other,111
2022-02-26,Кличко Віталій,other,183
2022-02-26,Федоров Михайло,other,46
2022-02-26,Усик Олександр,other,39
2022-02-26,Подоляк Михайло,other,209
2022-02-26,Верещук Ірина,other,49
2022-02-26,Ляшко Олег,other,36
2022-02-26,Тимошенко Юлія,other,11
2022-02-26,Безугла Мар'яна,other,6
2022-02-26,Порошенко Петро,other,35
2022-02-26,Яценюк Арсеній,other,3
2022-02-26,Стефанчук Руслан,other,4
2022-02-26,Малюк Василь,other,8
2022-02-26,Притула Сергій,other,18
2022-02-26,Білецький Андрій,other,1
2022-02-26,Разумков Дмитро,other,6
2022-02-26,Железняк Ярослав,other,6
2022-02-26,Зеленський Володимир,voenkor,1
2022-02-26,Кім Віталій,other,13
2022-02-26,Іллєнко Андрій,other,1
2022-02-26,Прокопенко Денис,other,1
2022-02-26,Гордон Дмитро,other,1
2022-02-26,Терехов Ігор,other,9
2022-02-26,Залужний Валерій,other,6
2022-02-26,Стерненко Сергій,other,1
2022-02-26,Вілкул Олександр,other,10
2022-02-26,Мураєв Євген,other,1
2022-02-27,Зеленський Володимир,other,1021
2022-02-27,Усик Олександр,other,35
2022-02-27,Залужний Валерій,other,51
2022-02-27,Кулеба Дмитро,other,83
2022-02-27,Федоров Михайло,other,28
2022-02-27,Арестович Олексій,other,338
2022-02-27,Арахамія Давид,other,56
2022-02-27,Подоляк Михайло,other,51
2022-02-27,Кім Віталій,other,19
