date,username,category_id,category,subcategory_id,subcategory,post_count
2022-02-24,rlz_the_kraken,1,Political,1.4,Political opposition suppression,2
2022-02-24,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-02-24,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-24,kolokol_21,1,Political,1.2,Authoritarian consolidation,2
2022-02-24,rlz_the_kraken,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-24,truekpru,1,Political,1.4,Political opposition suppression,2
2022-02-24,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-24,kolokol_21,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-24,chp_sevastopol,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-24,chp_sevastopol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-24,Eduvtatarstan,1,Political,1.4,Political opposition suppression,1
2022-02-24,kuban_23,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-25,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-02-25,insiderUKR,1,Political,1.4,Political opposition suppression,1
2022-02-25,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-02-25,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",5
2022-02-25,truekpru,1,Political,1.4,Political opposition suppression,1
2022-02-25,sheptoon,5,Religion and Linguistic Division,5.1,Religious persecution framing,2
2022-02-25,sheptoon,1,Political,1.4,Political opposition suppression,1
2022-02-25,chp_sevastopol,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-25,kolokol_21,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-25,chp_sevastopol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-25,TAO_ofice_501,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,5
2022-02-25,okoskol,1,Political,1.4,Political opposition suppression,1
2022-02-26,UaOnlii,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
2022-02-26,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-02-26,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
2022-02-26,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-02-26,deputatdumy,1,Political,1.2,Authoritarian consolidation,1
2022-02-26,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",6
2022-02-26,truekpru,1,Political,1.4,Political opposition suppression,1
2022-02-26,sheptoon,1,Political,1.4,Political opposition suppression,2
2022-02-26,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-02-26,smrgrad,1,Political,1.4,Political opposition suppression,1
2022-02-26,themoscowdailynews,1,Political,1.4,Political opposition suppression,1
2022-02-26,kolokol_21,1,Political,1.2,Authoritarian consolidation,1
2022-02-26,kolokol_21,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-26,dtp_tomsk,1,Political,1.4,Political opposition suppression,1
2022-02-26,dag_one,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-26,dag_one,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-02-27,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-27,rlz_the_kraken,1,Political,1.4,Political opposition suppression,2
2022-02-27,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",5
2022-02-27,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-02-27,sheptoon,1,Political,1.4,Political opposition suppression,2
2022-02-27,truekpru,1,Political,1.4,Political opposition suppression,2
2022-02-27,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-27,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
2022-02-27,Eduvtatarstan,1,Political,1.4,Political opposition suppression,1
2022-02-27,nap_official,1,Political,1.2,Authoritarian consolidation,10
2022-02-27,okoskol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-28,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-02-28,UaOnlii,1,Political,1.5,Media environment integrity,1
2022-02-28,insiderUKR,1,Political,1.5,Media environment integrity,1
2022-02-28,UZBEKISTANUZ,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-28,truekpru,1,Political,1.4,Political opposition suppression,1
2022-02-28,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-28,kzpublic,1,Political,1.5,Media environment integrity,1
2022-02-28,tatarstan_republic,1,Political,1.4,Political opposition suppression,1
2022-02-28,Eduvtatarstan,1,Political,1.4,Political opposition suppression,1
2022-02-28,zahidwtf_official,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-02-28,cxema_thewar,1,Political,1.4,Political opposition suppression,1
2022-02-28,okoskol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-02-28,okoskol,1,Political,1.4,Political opposition suppression,1
2022-02-28,rusoul1,1,Political,1.3,Corruption and governance failure,1
2022-03-01,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-03-01,insiderUKR,1,Political,1.4,Political opposition suppression,3
2022-03-01,insiderUKR,1,Political,1.5,Media environment integrity,1
2022-03-01,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-01,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-01,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-01,truekpru,1,Political,1.4,Political opposition suppression,1
2022-03-01,sheptoon,1,Political,1.4,Political opposition suppression,1
2022-03-01,tatarstan_republic,1,Political,1.4,Political opposition suppression,1
2022-03-01,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-01,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-01,Eduvtatarstan,1,Political,1.4,Political opposition suppression,1
2022-03-01,brat1212122133,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",24
2022-03-01,hab_news,1,Political,1.4,Political opposition suppression,1
2022-03-01,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-02,UaOnlii,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-02,UaOnlii,5,Religion and Linguistic Division,5.1,Religious persecution framing,1
2022-03-02,insiderUKR,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-02,insiderUKR,5,Religion and Linguistic Division,5.1,Religious persecution framing,1
2022-03-02,truekpru,1,Political,1.4,Political opposition suppression,1
2022-03-02,Iutsk,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-02,themoscowdailynews,1,Political,1.4,Political opposition suppression,3
2022-03-02,tvoe_v_v,5,Religion and Linguistic Division,5.1,Religious persecution framing,1
2022-03-02,tvoe_v_v,1,Political,1.3,Corruption and governance failure,1
2022-03-02,empireinthemaking,1,Political,1.3,Corruption and governance failure,7
2022-03-02,chp_sevastopol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-02,nar_war,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-02,bloknotkrasnodar,1,Political,1.4,Political opposition suppression,1
2022-03-03,UaOnlii,1,Political,1.5,Media environment integrity,2
2022-03-03,insiderUKR,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-03,insiderUKR,1,Political,1.4,Political opposition suppression,3
2022-03-03,fhvvccx,1,Political,1.4,Political opposition suppression,12
2022-03-03,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-03-03,truekpru,1,Political,1.4,Political opposition suppression,4
2022-03-03,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,themoscowdailynews,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,kolokol_21,1,Political,1.2,Authoritarian consolidation,1
2022-03-03,novostiorenburg,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",4
2022-03-03,chp_sevastopol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,kuban_23,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,okoskol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-03,georgia_24,1,Political,1.4,Political opposition suppression,1
2022-03-03,dag_one,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-03,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-04,insiderUKR,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-04,digestuz,1,Political,1.4,Political opposition suppression,1
2022-03-04,rlz_the_kraken,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-04,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-03-04,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",6
2022-03-04,truekpru,1,Political,1.4,Political opposition suppression,2
2022-03-04,RealUzbekistan,1,Political,1.4,Political opposition suppression,1
2022-03-04,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-04,tvoe_v_v,1,Political,1.3,Corruption and governance failure,1
2022-03-04,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-04,chp_sevastopol,1,Political,1.4,Political opposition suppression,1
2022-03-04,okoskol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-04,rusoul1,1,Political,1.4,Political opposition suppression,1
2022-03-04,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",5
2022-03-05,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-03-05,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-05,chp_sevastopol,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,kolokol_21,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,themoscowdailynews,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,hab_news,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-05,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-06,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-06,rlz_the_kraken,1,Political,1.4,Political opposition suppression,1
2022-03-06,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
2022-03-06,tatarstan_republic,1,Political,1.4,Political opposition suppression,1
2022-03-06,Eduvtatarstan,1,Political,1.4,Political opposition suppression,1
2022-03-06,kuban_23,1,Political,1.4,Political opposition suppression,1
2022-03-06,cxema_thewar,1,Political,1.4,Political opposition suppression,1
2022-03-06,okoskol,1,Political,1.4,Political opposition suppression,1
2022-03-06,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-03-07,oko_ua,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",5
2022-03-07,deputatdumy,1,Political,1.4,Political opposition suppression,1
2022-03-07,sheptoon,1,Political,1.4,Political opposition suppression,2
2022-03-07,sheptoon,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,kolokol_21,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,themoscowdailynews,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-07,ponaehalee,1,Political,1.4,Political opposition suppression,1
2022-03-07,hab_news,1,Political,1.4,Political opposition suppression,1
2022-03-07,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-07,dag_one,1,Political,1.4,Political opposition suppression,1
2022-03-07,dag_one,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,UaOnlii,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,UaOnlii,1,Political,1.4,Political opposition suppression,1
2022-03-08,UaOnlii,1,Political,1.5,Media environment integrity,1
2022-03-08,oko_ua,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,oko_ua,1,Political,1.4,Political opposition suppression,1
2022-03-08,oko_ua,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-08,insiderUKR,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-08,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,kolokol_21,1,Political,1.2,Authoritarian consolidation,2
2022-03-08,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,truekpru,1,Political,1.4,Political opposition suppression,1
2022-03-08,tatarstan_republic,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-08,dag_one,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,UaOnlii,1,Political,1.5,Media environment integrity,1
2022-03-09,UaOnlii,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,UaOnlii,1,Political,1.3,Corruption and governance failure,1
2022-03-09,oko_ua,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,oko_ua,1,Political,1.5,Media environment integrity,1
2022-03-09,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",4
2022-03-09,oko_ua,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-09,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-09,sheptoon,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,sheptoon,1,Political,1.4,Political opposition suppression,1
2022-03-09,themoscowdailynews,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,themoscowdailynews,1,Political,1.4,Political opposition suppression,1
2022-03-09,Eduvtatarstan,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,huevuy_dnepr,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-09,bloknotkrasnodar,1,Political,1.4,Political opposition suppression,1
2022-03-09,neftushka,1,Political,1.4,Political opposition suppression,7
2022-03-10,UaOnlii,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",2
2022-03-10,UaOnlii,1,Political,1.5,Media environment integrity,1
2022-03-10,insiderUKR,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-10,insiderUKR,3,Military and Mobilization,3.2,Military morale and treatment of soldiers,1
2022-03-10,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
2022-03-10,truekpru,1,Political,1.4,Political opposition suppression,1
2022-03-10,kolokol_21,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-10,sheptoon,1,Political,1.4,Political opposition suppression,1
2022-03-10,themoscowdailynews,1,Political,1.4,Political opposition suppression,1
2022-03-10,huevuy_dnepr,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-10,rusoul1,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-10,dag_one,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-11,insiderUKR,1,Political,1.2,Authoritarian consolidation,1
2022-03-11,rlz_the_kraken,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",1
2022-03-11,spitzfirst,1,Political,1.4,Political opposition suppression,9
2022-03-11,truekpru,5,Religion and Linguistic Division,5.3,"Bandera rehabilitation and ""De-Nazification"" narrative",3
